Sn,Country,Total Case,New Case,Total Death,Total Recovered,New Recovered,Active case
112,Jamaica,"50,166",,"1,080 ",,"30,192",
113,Ivory Coast,"48,378",,315 ,,"47,862",
114,Senegal,"43,427",+164,"1,170 ",+2,"41,554",+67
115,Madagascar,"42,247",,915 ,,"40,651",
116,DRC,"41,771",+418,937 ,+4,"28,431",+9
117,Rwanda,"39,914",,448 ,,"27,272",
118,Angola,"38,965",,903 ,,"33,271",
119,Sudan,"36,709",,"2,760 ",,"30,543",
120,Malawi,"36,359",,"1,199 ",,"33,228",
121,Trinidad and Tobago,"33,029",,857 ,,"25,229",
122,Cabo Verde,"32,594",,287 ,,"31,692",
123,Australia,"30,684",+40,910 ,,"29,358",
124,Malta,"30,633",+6,420 ,,"30,161",
125,Réunion,"30,583",,237 ,,"28,585",
126,French Guiana,"27,628",,146 ,,"9,995",
127,Syria,"25,551",,"1,879 ",,"21,831",
128,Gabon,"25,054",,159 ,,"24,729",
129,Guinea,"23,787",,172 ,,"22,477",
130,Suriname,"21,936",,531 ,,"17,832",
131,Mauritania,"20,894",,489 ,,"19,816",
132,Guyana,"20,142",,473 ,,"18,109",
133,Mayotte,"19,405",,174 ,,"2,964",
134,Eswatini,"19,084",,678 ,,"18,107",
135,French Polynesia,"19,007",,142 ,,"18,851",
136,Haiti,"18,665",,438 ,,"12,865",
137,Vietnam,"17,902",+326,81 ,,"7,247",
138,Papua New Guinea,"17,098",,173 ,,"16,518",
139,Guadeloupe,"17,028",,230 ,,"2,250",
140,Seychelles,"15,579",,68 ,,"14,365",
141,Somalia,"14,946",,775 ,,"7,246",
142,Taiwan,"14,911",+58,676 ,+15,"11,649",+41
143,Mali,"14,428",,525 ,,"10,062",
144,Togo,"13,962",,130 ,,"13,517",
145,Andorra,"13,918",,127 ,,"13,721",
146,Tajikistan,"13,523",,90 ,,"13,318",
147,Burkina Faso,"13,485",,168 ,,"13,308",
148,Belize,"13,300",,329 ,,"12,665",
149,Bahamas,"12,735",,246 ,,"11,603",
150,Congo,"12,695",,166 ,,"11,211",
151,Martinique,"12,374",,98 ,,98,
152,Curaçao,"12,343",,126 ,,"12,197",
153,Hong Kong,"11,939",+11,211 ,,"11,633",+2
154,Djibouti,"11,602",,155 ,,"11,443",
155,Lesotho,"11,544",+128,329 ,,"6,461",+4
156,Aruba,"11,140",,107 ,,"11,005",
157,South Sudan,"10,846",,117 ,,"10,514",
158,Timor-Leste,"9,361",+83,24 ,,"8,467",+42
159,Equatorial Guinea,"8,742",,122 ,,"8,534",
160,Benin,"8,199",,104 ,,"8,000",
161,Nicaragua,"8,178",,191 ,,"4,225",
162,CAR,"7,141",,98 ,,"6,859",
163,Yemen,"6,923",,"1,361 ",,"4,081",
164,Iceland,"6,654",,30 ,,"6,600",
165,Gambia,"6,079",,181 ,,"5,858",
166,Eritrea,"6,028",,25 ,,"5,559",
167,Sierra Leone,"5,652",,102 ,,"3,562",
168,Niger,"5,492",,193 ,,"5,207",
169,Burundi,"5,482",,8 ,,773,
170,Saint Lucia,"5,302",,84 ,,"5,124",
171,Fiji,"5,253",+404,25 ,+1,970,+52
172,San Marino,"5,091",,90 ,,"5,000",
173,Chad,"4,951",,174 ,,"4,769",
174,Channel Islands,"4,448",,86 ,,"3,994",
175,Gibraltar,"4,357",+6,94 ,,"4,229",
176,Liberia,"4,304",,129 ,,"2,392",
177,Barbados,"4,082",,47 ,,"3,999",
178,Comoros,"3,943",,146 ,,"3,765",
179,Guinea-Bissau,"3,869",,69 ,,"3,588",
180,Liechtenstein,"3,040",+1,59 ,,"2,964",+1
181,New Zealand,"2,742",,26 ,,"2,689",+3
182,Sint Maarten,"2,618",,33 ,,"2,547",
183,Monaco,"2,580",,33 ,,"2,521",
184,Bermuda,"2,514",,33 ,,"2,466",
185,Turks and Caicos,"2,425",,18 ,,"2,398",
186,Sao Tome and Principe,"2,369",,37 ,,"2,320",
187,Saint Martin,"2,276",,12 ,,"1,399",
188,St. Vincent Grenadines,"2,229",+2,12 ,,"2,023",+17
189,Laos,"2,176",+32,3 ,,"1,986",
190,Bhutan,"2,122",+18,1 ,,"1,820",+9
191,Mauritius,"1,858",,18 ,,"1,534",
192,Caribbean Netherlands,"1,651",+1,17 ,,"1,619",+6
193,Isle of Man,"1,620",,29 ,,"1,569",
194,Antigua and Barbuda,"1,264",,42 ,,"1,222",
195,St. Barth,"1,005",,1 ,,462,
196,Faeroe Islands,778,,1 ,,764,
197,Diamond Princess,712,,13 ,,699,
198,Cayman Islands,614,,2 ,,603,
199,Tanzania,509,,21 ,,183,
200,Saint Kitts and Nevis,457,,3 ,,199,
201,Wallis and Futuna,445,,7 ,,438,
202,British Virgin Islands,392,+42,1 ,,300,
203,Brunei ,261,,3 ,,248,
204,Dominica,194,+1, ,,191,
205,Grenada,161,,1 ,,160,
206,New Caledonia,129,, ,,58,
207,Anguilla,109,, ,,109,
208,Falkland Islands,63,, ,,63,
209,Macao,54,, ,,51,
210,Greenland,50,, ,,50,
211,Vatican City,27,, ,,27,
212,Saint Pierre Miquelon,26,, ,,26,
213,Montserrat,20,,1 ,,19,
214,Solomon Islands,20,, ,,20,
215,Western Sahara,10,,1 ,,8,
216,MS Zaandam,9,,2 ,,7,
217,Vanuatu,4,,1 ,,3,
218,Marshall Islands,4,, ,,4,
219,Samoa,3,, ,,3,
220,Saint Helena,2,, ,,2,
221,Micronesia,1,, ,,1,
222,China,"91,810",+18,"4,636 ",,"86,738",+20
,Total:,"40,651,666","+6,758","919,265",+227,"34,139,117","+2,988"
,Total:,"56,084,638","+97,474","795,705","+1,461","53,422,038","+73,968"
,Total:,"33,039,478","+1,662","1,008,722",+55,"30,022,393","+2,505"
,Total:,"48,089,039","+30,622","1,104,565",+785,"45,499,210","+28,745"
,Total:,"5,598,589","+1,128","144,165",+13,"4,865,994",+330
,Total:,"75,390",+444,"1,284",+1,"68,913",+55
,Total:,721,,15,,706,
,Total:,"183,539,521","+138,088","3,973,721","+2,542","168,018,371","+108,591"
